FemaleFrequency,MaleFrequency
3.00E-05,1.00E-05
0.00043,1.00E-04
2.00E-05,0
0.01717,0.00395
2.00E-05,0
0.03127,0.0072
0.00175,4.00E-04
0.01966,0.00453
0.00148,0.00034
0.01038,0.00239
0.01461,0.00336
0.01536,0.00354
0.00035,8.00E-05
0.0052,0.0012
4.00E-05,1.00E-05
0.00043,1.00E-04
0.00184,0.00042
0.00102,0.00024
0.00279,0.00064
0.00047,0.00011
0.00815,0.00188
0.00321,0.00074
0.00031,7.00E-05
0.00405,0.00093
0.00011,3.00E-05
0.00233,0.00054
1.00E-05,0
0.06484,0.01493
0.00175,4.00E-04
0.00433,0.001
0.00233,0.00054
0.01371,0.00316
0.00011,3.00E-05
0.00146,0.00034
0.00422,0.00097
0.01599,0.00368
1.00E-04,2.00E-05
0.00514,0.00118
0.00062,0.00014
0.00067,0.00015
0.00379,0.00087
0.00175,4.00E-04
0.00125,0.00029
5.00E-04,0.00012
0.00175,4.00E-04
0.00025,6.00E-05
0.00011,3.00E-05
0.00175,4.00E-04
0.00204,0.00047
0.00263,6.00E-04
7.00E-05,2.00E-05
0.00263,6.00E-04
0.00204,0.00047
8.00E-05,2.00E-05
0.00408,0.00094
0.00432,0.001
0.00436,0.001
0.006,0.00138
0.00525,0.00121
0.00614,0.00141
3.00E-05,1.00E-05
0.00263,6.00E-04
0.01161,0.00267
0.00321,0.00074
0.00292,0.00067
0.00021,5.00E-05
0.00017,4.00E-05
0.00387,0.00089
0.00014,3.00E-05
0.00175,4.00E-04
8.00E-04,0.00018
0.00442,0.00102
0.01047,0.00241
0.00233,0.00054
0.00175,4.00E-04
0.00175,4.00E-04
0.01225,0.00282
0.00172,4.00E-04
0.02307,0.00531
0.00132,3.00E-04
0.00033,8.00E-05
0.0401,0.00923
0.03972,0.00914
0.00321,0.00074
0.00573,0.00132
0.01633,0.00376
0.00204,0.00047
0.01786,0.00411
0.0219,0.00504
0.00026,6.00E-05
4.00E-05,1.00E-05
0.01224,0.00282
0.00228,0.00052
0.00642,0.00148
0.00321,0.00074
0.00115,0.00026
0.00046,0.00011
0.00175,4.00E-04
0.00023,5.00E-05
0.00191,0.00044
0.00292,0.00067
0.00175,4.00E-04
0.01708,0.00393
0.00137,0.00031
0.00023,5.00E-05
0.00263,6.00E-04
0.00175,4.00E-04
0.00233,0.00054
0.00204,0.00047
4.00E-05,1.00E-05
0.00026,6.00E-05
0.0035,0.00081
0.00267,0.00061
0.00292,0.00067
0.00175,4.00E-04
0.00034,8.00E-05
0.00233,0.00054
0.00048,0.00011
0.00051,0.00012
0.00023,5.00E-05
0.00321,0.00074
0.07807,0.01797
0.00233,0.00054
0.00424,0.00098
0.0035,0.00081
0.00215,5.00E-04
0.00255,0.00059
0.00204,0.00047
