Word,Female,Male
contradict,15,79
ira,18,86
go,85,371
landown,2,15
russian,8,37
exemplifi,2,8
unafford,5,6
twofold,7,27
frail,0,11
mother,382,370
reliev,2,44
inapplic,0,7
overbuild,0,7
check,38,211
transactionbank,0,9
ballot,6,45
overidentifi,3,16
generaliz,6,22
irrelev,7,39
multifacet,10,7
pair,51,323
front,4,42
advisor,0,58
withinindustri,18,29
soviet,3,64
content,68,275
occup,203,777
eec,1,16
lesseduc,8,38
pupilteach,4,19
maximum,29,194
biomed,3,9
nonwalrasian,0,7
childhood,142,292
wang,0,9
cheapest,0,10
video,30,51
discharg,39,93
offici,117,384
better,375,1545
capitalskil,4,12
process,396,1794
carolina,21,86
parallel,29,103
freeli,12,54
internship,6,8
imrt,0,16
necessarili,50,205
bottomup,3,6
vanish,5,43
bundl,13,147
trivial,3,19
report,438,1714
presampl,0,8
emir,0,6
flighttoqu,0,6
sixti,4,27
redistribut,113,538
oxford,0,7
deunion,2,10
side,76,391
loe,7,18
offer,468,1744
gibrat,0,14
taylor,16,182
microeconom,25,224
ffms,0,6
trend,288,1174
cutoff,34,121
philanthrop,3,7
eaton,2,11
cotton,12,45
ipr,15,30
leas,16,105
far,117,494
christian,2,8
father,107,151
clerk,1,12
setup,8,81
wade,0,7
handgun,0,13
particip,731,2386
didnt,1,9
footag,0,9
unawar,12,17
subscript,4,21
overus,16,12
out,417,1711
readili,25,86
idiosyncrat,84,451
hoard,3,63
steam,6,30
membership,16,120
highs,2,8
curriculum,7,42
publicschool,0,6
recidiv,5,38
general,526,3518
downgrad,6,29
voucher,25,184
song,0,12
insofar,3,29
success,219,1041
guidanc,28,95
brcs,0,6
meanrevers,4,11
tradepolici,0,12
modif,8,103
mandat,95,294
lehman,13,33
mortgageback,5,35
brandnam,3,21
immigr,405,1037
semiparametr,20,103
each,503,2316
intraindustri,4,48
questionnair,5,36
spillov,187,805
minorityown,0,6
sacu,0,9
selfish,9,24
jobseek,0,31
pronounc,63,301
tanzania,14,16
latin,46,242
cheaper,26,89
predetermin,6,61
philosophi,0,10
order,253,1151
repercuss,2,16
coinsur,5,46
angel,11,68
herfindahlhirschman,0,6
linder,0,9
barrel,0,10
evidencebas,5,7
ci,15,36
geograph,140,720
violenc,175,283
taller,17,15
formal,154,674
await,1,10
rang,229,1062
benign,9,21
therapi,28,93
row,13,11
decomposit,44,210
aliv,1,27
nuisanc,0,24
bloom,7,13
said,7,34
trial,85,287
numer,76,476
agriculturetourban,0,6
matter,173,540
datadriven,3,9
wfh,0,18
by,5726,25020
these,2992,12506
consumpt,586,3339
bubbl,19,372
aumbas,0,6
satellit,27,34
murder,10,28
harm,82,260
nrps,0,8
assert,6,49
confisc,2,6
interestr,28,78
fragment,24,81
baltimor,0,6
marin,0,7
topend,0,6
lessen,6,27
sugarcan,2,6
cex,1,15
nonadher,0,17
fossilfuel,0,7
nonexperiment,12,89
indoor,16,22
septemb,11,70
unconfounded,4,6
prosper,8,57
unicorn,0,8
mercantil,0,6
crack,5,62
jump,12,218
microstructur,3,51
inclin,7,23
reimburs,41,134
highyield,3,21
theorist,4,31
marshal,2,18
steadyst,10,118
latent,19,174
revenuerais,1,9
hundr,29,104
hamp,0,10
display,62,272
medic,500,1028
fishermen,0,13
minimax,0,13
piaac,0,8
accommod,19,159
appeal,26,143
investmentcash,0,10
artist,4,27
underinsur,14,24
softwar,36,171
kowalski,0,6
termin,22,112
convent,114,803
quarter,108,540
aid,146,444
contigu,5,15
congression,13,112
maliar,0,8
aggreg,572,3459
disenrol,2,19
generat,588,2897
takeup,107,151
hayashi,4,6
di,29,167
holder,17,120
meanstest,13,46
subdu,0,6
dcapm,0,6
formulari,4,13
georg,0,9
arent,0,8
selfgovern,0,10
chess,0,11
midwestern,1,10
broadband,1,35
numerair,1,8
probabilist,5,42
intern,569,3379
misclassifi,0,8
wm,0,9
meanpreserv,0,6
myopic,7,67
carbon,52,435
commonlaw,0,14
ocp,4,14
holdup,10,44
sovereign,92,411
adopte,6,6
juri,6,50
ecuador,0,17
frequent,73,401
slope,17,188
locat,312,946
polici,1898,10139
postpon,13,41
unbias,8,88
frictionreduc,2,8
follow,418,2011
texa,44,118
investmentbas,6,41
johnson,1,19
postur,4,7
malthusian,2,11
hedger,0,17
american,242,1084
minimil,0,7
april,1,46
indebt,0,30
blocker,1,18
dm,2,9
welfar,662,3057
infinitehorizon,7,13
involv,202,909
timber,9,11
soccerbal,0,8
yellow,1,9
wealthi,29,102
tempor,23,100
final,444,1818
sanction,52,110
washington,22,43
unilater,32,83
inevit,8,38
welldocu,3,41
viabl,3,43
stagnat,14,100
extrem,106,539
recruit,20,149
carri,87,348
victim,70,97
transform,58,228
mnc,5,11
blackown,0,10
uisa,0,8
posttreat,8,6
becam,53,196
subsum,8,14
highinfl,1,9
honesti,0,9
support,531,2426
buyitnow,0,6
forgo,7,22
epsteinzin,0,18
serbian,0,16
usmexico,2,8
frankel,0,7
stateloc,2,15
medicalcar,0,6
with,6662,28183
organiz,99,231
ilec,0,24
servic,543,1804
demographi,2,20
dfi,8,8
dishonest,3,28
connect,137,502
utilitarian,3,20
shimer,0,22
swaption,0,9
dire,2,8
blood,54,54
insect,0,13
advisori,26,19
atr,0,9
firsttim,11,30
fring,5,38
orphan,16,12
paramet,178,1375
certifi,14,79
pertin,3,18
roger,0,7
pricebas,2,13
shorterterm,7,10
greenfield,0,19
crossregion,3,17
bufferstock,0,10
biofuel,2,29
medicareinelig,0,6
bodi,107,307
highrisk,4,34
ltchs,14,6
input,360,1081
franc,41,270
type,417,1894
nonchart,0,11
qr,0,10
fullyear,2,8
mve,0,21
personnel,30,79
inn,0,6
clerkship,0,9
multidimension,7,54
turkey,11,41
macroprudenti,22,83
extent,338,1313
entrepreneurship,58,189
argentin,5,35
menucost,4,9
bicycl,3,14
nonpubl,4,7
hightax,4,26
uncommon,2,7
oversubscrib,1,14
ip,26,41
thrift,2,25
legitimaci,7,10
tank,2,13
frm,0,21
prefer,550,2594
collect,206,845
histori,177,608
fazzari,0,6
unfund,8,47
banker,7,56
obsolet,2,21
jail,1,27
shade,0,11
leadership,55,82
wep,0,13
marketclear,3,15
ascertain,13,19
revealedprefer,2,8
markovian,2,11
chetti,2,6
rk,2,6
ya,0,6
mathemat,24,125
ifa,0,7
point,594,2285
passthrough,92,225
identifi,612,2151
seal,4,11
coverag,361,947
quantif,4,15
sovereignti,1,18
macroeconomi,9,62
noncommerci,0,6
broke,4,10
cheapli,2,13
molecul,3,38
clinton,4,14
breakfast,17,9
extraordinari,7,31
now,53,396
racebas,3,10
curs,0,50
riskreturn,4,14
countypair,0,6
vivid,0,7
regressor,1,95
coe,0,12
size,430,2126
legal,178,801
penalti,64,249
bluecollar,3,32
eighth,3,16
wedg,13,182
prelotteri,0,6
rpm,0,7
withinfirm,9,30
stockpric,1,25
pump,0,8
chile,25,141
truncat,9,21
lowasset,0,8
rider,2,20
smallhold,0,6
theft,6,21
swcts,0,6
highdebt,0,11
pollutionintens,0,8
highcost,23,41
nutrit,49,177
disclos,25,103
criterion,11,100
need,271,1264
invok,1,33
fate,1,7
resembl,12,108
ambul,6,18
malawi,12,15
dutch,4,46
regress,228,1175
virginia,2,13
enough,65,352
mission,8,22
reinvest,4,29
transitori,31,184
sociolog,5,18
completemarket,0,6
eman,9,12
standalon,8,13
stabl,95,471
confus,6,37
domain,49,118
realiti,15,55
puerto,26,23
extend,163,972
termsoftrad,4,53
backward,13,71
again,20,119
benchmark,73,504
ushap,6,87
moodi,5,16
level,1240,5478
attribut,224,920
blind,6,20
pyramid,6,69
daytoday,5,13
warehous,0,7
mississippi,0,9
influenza,12,24
